Page.Name,Page.Category,Page.Admin.Top.Country,Page.Description,Page.Created,Likes.at.Posting,Followers.at.Posting,Post.Created,Post.Created.Date,Post.Created.Time,Type,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Total.Views,Video.Length,URL,Message
Johnson & Johnson,MEDICAL_HEALTH,US,Like us to see how we're solving the world's toughest health challenges. ,2009-08-25 19:15:11,1075867,1094211,2024-06-19 05:30:51 AEST,2024-06-19,05:30:51,Photo,44,33,9,4,2,0,0,0,0,0,N/A,https://www.facebook.com/100020084423101/posts/1437978743548259,Advancing drug discovery. Helping treatments reach patients faster. Diversifying clinical trials. Improving surgical outcomes. Learn how our teams are using artificial intelligence to drive innovation and change how care is delivered: https://social.jnj.com/4c3v4b3:=:https://www.jnj.com/innovation/artificial-intelligence-in-healthcare
Johnson & Johnson,MEDICAL_HEALTH,US,Like us to see how we're solving the world's toughest health challenges. ,2009-08-25 19:15:11,1075859,1094271,2024-06-14 05:00:53 AEST,2024-06-14,05:00:53,Photo,20,25,5,1,0,1,0,1,1,0,N/A,https://www.facebook.com/100020084423101/posts/1435132100499590,LGBTQIA+ individuals are almost 3x more likely to report poor mental health—but accessing treatment can be challenging. See how we’re working to close the gaps in mental health care and empower this community: https://social.jnj.com/3VFE4NP:=:https://www.jnj.com/health-and-wellness/by-the-numbers-providing-mental-health-support-to-the-lgbtqia-community #PrideMonth
Johnson & Johnson,MEDICAL_HEALTH,US,Like us to see how we're solving the world's toughest health challenges. ,2009-08-25 19:15:11,1075836,1094351,2024-06-07 04:01:08 AEST,2024-06-07,04:01:08,Native Video,39,32,8,7,1,0,0,0,1,899,00:00:06,https://www.facebook.com/100020084423101/posts/1431159304230203,Providing access to quality care in remote parts of the world is just one of the many ways we're working to improve patient outcomes and create healthier communities. Read more about the strides we've made this year toward advancing #HealthForHumanity: https://social.jnj.com/3Kyejsp:=:https://www.jnj.com/latest-news/4-things-to-know-about-johnson-and-johnson-2023-health-for-humanity-report
Johnson & Johnson,MEDICAL_HEALTH,US,Like us to see how we're solving the world's toughest health challenges. ,2009-08-25 19:15:11,1075836,1094351,2024-06-06 11:44:46 AEST,2024-06-06,11:44:46,Native Video,38,14,11,3,0,0,0,0,0,840,00:00:12,https://www.facebook.com/100020084423101/posts/1430759977603469,"Closing the gap between communities and care. Creating a culture of learning and inclusivity. Harnessing cutting-edge technology to develop breakthrough solutions. Explore the latest progress we've made toward a healthier, more sustainable future in our 2023 #HealthForHumanity report: https://social.jnj.com/3V9Dfv5:=:https://healthforhumanityreport.jnj.com/?utm_creative_format=video"
Johnson & Johnson,MEDICAL_HEALTH,US,Like us to see how we're solving the world's toughest health challenges. ,2009-08-25 19:15:11,1075835,1094480,2024-06-01 07:01:17 AEST,2024-06-01,07:01:17,Native Video,47,23,6,7,2,0,0,0,0,941,00:00:12,https://www.facebook.com/100020084423101/posts/1427827924563341,We're connecting the best of Health&Care to bring patients and providers around the globe advanced treatments and industry-leading solutions for today’s most complex diseases. See how: https://social.jnj.com/3VnEM25:=:https://www.jnj.com/innovation/reconnecting-the-meaning-of-health-and-care
Johnson & Johnson,MEDICAL_HEALTH,US,Like us to see how we're solving the world's toughest health challenges. ,2009-08-25 19:15:11,1075852,1094505,2024-05-29 01:00:53 AEST,2024-05-29,01:00:53,Photo,42,17,6,6,0,0,0,0,1,0,N/A,https://www.facebook.com/100020084423101/posts/1426002524745881,Did you know: 70% of all shoulder replacement procedures are reverse shoulder replacements. ​ Discover how we've streamlined this surgery with a new system designed to offer surgeons flexibility in the operating room and improve patient outcomes: https://social.jnj.com/4bFWOSu:=:https://www.jnj.com/innovation/reverse-shoulder-replacement-surgery
Johnson & Johnson,MEDICAL_HEALTH,US,Like us to see how we're solving the world's toughest health challenges. ,2009-08-25 19:15:11,1075750,1094440,2024-05-20 00:00:45 AEST,2024-05-20,00:00:45,Photo,60,17,10,2,2,0,0,0,1,0,N/A,https://www.facebook.com/100020084423101/posts/1420771718602295,This data science leader's personal experience with Crohn’s disease drives his dedication to getting new treatments to patients faster. Hear his story: https://social.jnj.com/3K8BGbC:=:https://www.jnj.com/personal-stories/new-ibd-treatments-with-ai
Johnson & Johnson,MEDICAL_HEALTH,US,Like us to see how we're solving the world's toughest health challenges. ,2009-08-25 19:15:11,1075820,1094522,2024-05-17 23:00:44 AEST,2024-05-17,23:00:44,Photo,76,14,8,4,1,0,0,0,2,0,N/A,https://www.facebook.com/100020084423101/posts/1419456362067164,"""A staggering 80% of the information we take in is through our eyes. When our vision deteriorates, not only is our safety impacted, but the way we connect with people is affected, too."" — Patricia Piers, Ph.D., Head of R&D, Ophthalmic Implants​ For one of our employees, the company's mission to help restore vision for people who undergo cataract surgery became personal. Read her story here:​ https://social.jnj.com/3QCo2B8:=:https://www.jnj.com/health-and-wellness/intraocular-lens-cataract-surgery-success-story"
Johnson & Johnson,MEDICAL_HEALTH,US,Like us to see how we're solving the world's toughest health challenges. ,2009-08-25 19:15:11,1075828,1094511,2024-05-16 01:01:18 AEST,2024-05-16,01:01:18,Native Video,60,10,13,5,2,0,0,0,7,1396,00:00:20,https://www.facebook.com/100020084423101/posts/1418206668858800,See how we're innovating to help treat the millions of people who are living with atrial fibrillation and other conditions that cause an irregular heartbeat: https://social.jnj.com/3wvArQQ:=:https://www.jnj.com/innovation/what-is-cardiac-ablation
Johnson & Johnson,MEDICAL_HEALTH,US,Like us to see how we're solving the world's toughest health challenges. ,2009-08-25 19:15:11,1075806,1094482,2024-05-13 00:00:24 AEST,2024-05-13,00:00:24,Photo,82,11,7,10,2,0,0,0,1,0,N/A,https://www.facebook.com/100020084423101/posts/1416356795710454,This nurse innovator is all about creating a culture where nurses—and patients—can thrive. See how she’s working to transform the patient experience:​ https://social.jnj.com/44E7sGZ:=:https://www.jnj.com/a-glimpse-into-a-nurses-day
Johnson & Johnson,MEDICAL_HEALTH,US,Like us to see how we're solving the world's toughest health challenges. ,2009-08-25 19:15:11,1075428,1094158,2024-05-04 04:31:02 AEST,2024-05-04,04:31:02,Native Video,52,31,6,4,2,1,0,0,1,820,00:00:09,https://www.facebook.com/100020084423101/posts/1411140346232099,Fact: Patients have better health outcomes when they are treated by people of their own race or ethnicity. See how we’re committed to increasing diversity in the healthcare workforce: https://social.jnj.com/3QvbHyH:=:https://www.jnj.com/caring-and-giving/ways-johnson-johnson-is-improving-doctor-diversity
Johnson & Johnson,MEDICAL_HEALTH,US,Like us to see how we're solving the world's toughest health challenges. ,2009-08-25 19:15:11,1075074,1093925,2024-04-26 00:06:08 AEST,2024-04-26,00:06:08,Native Video,64,28,15,18,2,0,0,0,1,2867,00:00:12,https://www.facebook.com/100020084423101/posts/1406307396715394,We're connecting the best of Health&Care to bring patients and providers around the globe advanced treatments and industry-leading solutions for today’s most complex diseases. See how: https://social.jnj.com/3xNXypP:=:https://www.jnj.com/innovation/reconnecting-the-meaning-of-health-and-care
Johnson & Johnson,MEDICAL_HEALTH,US,Like us to see how we're solving the world's toughest health challenges. ,2009-08-25 19:15:11,1075008,1093877,2024-04-25 07:00:39 AEST,2024-04-25,07:00:39,Photo,61,22,11,10,0,0,0,0,0,0,N/A,https://www.facebook.com/100020084423101/posts/1405901480089319,"Did you know gene mutations can happen at any time?​ Usually, these small changes in DNA have little effect, but other times, they can trigger cancer to grow and spread. See how we’re developing new therapies to target these specific types of cancer: https://social.jnj.com/49TBdVj:=:https://www.jnj.com/innovation/what-is-a-gene-mutation"
Johnson & Johnson,MEDICAL_HEALTH,US,Like us to see how we're solving the world's toughest health challenges. ,2009-08-25 19:15:11,1074906,1093761,2024-04-23 04:00:02 AEST,2024-04-23,04:00:02,Photo,39,17,10,6,0,2,0,0,0,0,N/A,https://www.facebook.com/100020084423101/posts/1404647943548006,"When triple-digit heatwaves, wildfires and hurricanes strike, vulnerable populations are most at risk of health impacts or missing out on much-needed healthcare. Together with Americares and Harvard C-CHANGE, we’re working to ensure community health centers and free and charitable clinics have the resources they need to help those impacted by climate change: https://social.jnj.com/3Q8NzSs:=:https://www.jnj.com/health-and-wellness/building-climate-resilient-health-clinics"
Johnson & Johnson,MEDICAL_HEALTH,US,Like us to see how we're solving the world's toughest health challenges. ,2009-08-25 19:15:11,1074777,1093558,2024-04-11 01:00:11 AEST,2024-04-11,01:00:11,Photo,113,51,16,5,1,1,0,1,1,0,N/A,https://www.facebook.com/100020084423101/posts/1397952834217517,We’re innovating in bariatric surgery to change how doctors operate and patients recover. See how: https://social.jnj.com/3vCY0qk:=:https://www.jnj.com/health-and-wellness/johnson-and-johnson-new-bariatric-surgery-technology
Johnson & Johnson,MEDICAL_HEALTH,US,Like us to see how we're solving the world's toughest health challenges. ,2009-08-25 19:15:11,1074712,1093558,2024-04-08 01:00:10 AEST,2024-04-08,01:00:10,Photo,125,30,17,33,3,1,0,1,1,0,N/A,https://www.facebook.com/100020084423101/posts/1396298821049585,"We believe health is everything. While healthcare innovation accelerates, many communities still face barriers in access to quality care. See how we’re committed to bridging these health equity gaps, championing health workers and transforming health for all: https://social.jnj.com/3VJXVf7:=:https://www.jnj.com/global-health-equity"
Johnson & Johnson,MEDICAL_HEALTH,US,Like us to see how we're solving the world's toughest health challenges. ,2009-08-25 19:15:11,1073199,1091918,2024-03-12 01:00:43 AEDT,2024-03-12,01:00:43,Native Video,105,106,13,7,2,1,0,1,1,2782,00:00:11,https://www.facebook.com/100020084423101/posts/1381047475908053,Imagine sitting at a table with friends but having trouble distinguishing their faces. This is what everyday life can be like for the 246 million people worldwide living with low vision. See how our teams are leading research around a gene therapy that could offer hope for these patients: https://social.jnj.com/3wxim4h:=:https://www.jnj.com/innovation/what-is-low-vision
Johnson & Johnson,MEDICAL_HEALTH,US,Like us to see how we're solving the world's toughest health challenges. ,2009-08-25 19:15:11,1073108,1091816,2024-03-11 02:05:32 AEDT,2024-03-11,02:05:32,Native Video,126,29,17,5,2,0,0,1,0,3009,00:00:16,https://www.facebook.com/100020084423101/posts/1380578425954958,"Did you know: There are over 100 different types of arthritis that cause symptoms such as joint pain, swelling, stiffness and limited range of motion.​ ​Explore the 3 main types of arthritis and how we're accelerating the pace of research to treat them: https://social.jnj.com/3ImqtmQ:=:https://www.jnj.com/health-and-wellness/arthritis-3-main-types-rheumatoid-psoriatic-osteoarthritis"
Johnson & Johnson,MEDICAL_HEALTH,US,Like us to see how we're solving the world's toughest health challenges. ,2009-08-25 19:15:11,1073015,1091672,2024-03-09 04:00:18 AEDT,2024-03-09,04:00:18,Photo,137,43,6,20,1,0,0,1,1,0,N/A,https://www.facebook.com/100020084423101/posts/1379594549386679,"✔️ Bringing medicines from the lab to patients. ✔️ Creating innovative intraocular lenses to see clearly again. ✔️ Developing dermatologic therapies for diverse populations. In honor of International Women's Day, meet 3 women working on groundbreaking healthcare innovations—and see how we're advancing opportunities for women in STEM through programs like WiSTEM2D: https://social.jnj.com/3wLVG0m:=:https://www.jnj.com/innovation/meet-3-women-in-healthcare"
Johnson & Johnson,MEDICAL_HEALTH,US,Like us to see how we're solving the world's toughest health challenges. ,2009-08-25 19:15:11,1072639,1091218,2024-03-02 09:59:48 AEDT,2024-03-02,09:59:48,Native Video,68,32,15,3,1,0,0,1,3,55603,00:00:30,https://www.facebook.com/100020084423101/posts/1376067113072756,We're headed to #SXSW to share how we're working to solve the health challenges that matter most to you. See how you can join us. ⬇️
Johnson & Johnson,MEDICAL_HEALTH,US,Like us to see how we're solving the world's toughest health challenges. ,2009-08-25 19:15:11,1072617,1091182,2024-03-01 04:00:41 AEDT,2024-03-01,04:00:41,Native Video,81,28,10,3,2,0,0,1,3,1896,00:00:18,https://www.facebook.com/100020084423101/posts/1375431893136278,"These lifesaving therapies treat rare diseases, also known as orphan diseases. In honor of Rare Disease Day, discover more about orphan drugs and our continued research to enhance rare disease treatment: https://social.jnj.com/3uGNPAN:=:https://www.jnj.com/innovation/what-is-an-orphan-drug"
Johnson & Johnson,MEDICAL_HEALTH,US,Like us to see how we're solving the world's toughest health challenges. ,2009-08-25 19:15:11,1072492,1091023,2024-02-28 10:30:27 AEDT,2024-02-28,10:30:27,Native Video,86,27,10,5,2,0,0,1,1,2096,00:00:22,https://www.facebook.com/100020084423101/posts/1374566139889520,"Hip replacement surgery is one of the most common joint replacement procedures in the U.S. It has also undergone significant advancements in diagnostics, technique and technology. Explore more about hip replacement surgery—and how our teams are helping make this common procedure more effective and safer than ever: https://social.jnj.com/49txcaR:=:https://www.jnj.com/health-and-wellness/what-to-know-about-hip-replacement-surgery"
Johnson & Johnson,MEDICAL_HEALTH,US,Like us to see how we're solving the world's toughest health challenges. ,2009-08-25 19:15:11,1072131,1090627,2024-02-22 05:00:04 AEDT,2024-02-22,05:00:04,Photo,95,18,8,10,3,0,0,1,1,0,N/A,https://www.facebook.com/100020084423101/posts/1371431503536317,"Carlos is one of the 6.7 million adults in the U.S. with heart failure. ​ After being admitted to the emergency room for troubling heart symptoms, Carlos soon learned that the coronary artery disease he’d been diagnosed with years earlier had progressed to congestive heart failure. ​ We're committed to advancing treatments for heart failure so patients like Carlos can lead full, active lives. For American Heart Month, read about Carlos’s journey and the strides we are making: https://social.jnj.com/3T5keKm:=:https://www.jnj.com/health-and-wellness/do-you-know-what-heart-failure-is"
Johnson & Johnson,MEDICAL_HEALTH,US,Like us to see how we're solving the world's toughest health challenges. ,2009-08-25 19:15:11,1071638,1090138,2024-02-17 02:00:57 AEDT,2024-02-17,02:00:57,Photo,89,170,15,4,2,0,0,2,1,0,N/A,https://www.facebook.com/100020084423101/posts/1368810753798392,"A diverse nursing workforce is a better nursing workforce—one that can improve quality of care, patient outcomes and health equity. Find out more about our investment in and commitment to programs focused on encouraging and mentoring nursing students of color: https://social.jnj.com/3uwqth4:=:https://www.jnj.com/how-johnson-and-johnson-is-investing-in-student-nurses-of-color"
Johnson & Johnson,MEDICAL_HEALTH,US,Like us to see how we're solving the world's toughest health challenges. ,2009-08-25 19:15:11,1070964,1089433,2024-02-08 09:00:45 AEDT,2024-02-08,09:00:45,Photo,138,58,28,26,3,1,0,0,2,0,N/A,https://www.facebook.com/100020084423101/posts/1363866800959454,"Could we be on our way to eliminating cancer? Our team shared the innovative approaches we are developing to advance diagnosis and treatment options for everyone, everywhere: https://social.jnj.com/49lVgf8:=:https://www.jnj.com/innovation/eliminating-cancer-for-good"
Johnson & Johnson,MEDICAL_HEALTH,US,Like us to see how we're solving the world's toughest health challenges. ,2009-08-25 19:15:11,1070154,1088536,2024-01-27 06:00:25 AEDT,2024-01-27,06:00:25,Photo,146,60,40,19,2,1,0,3,4,0,N/A,https://www.facebook.com/100020084423101/posts/1357066318306169,"Is this the end of one-size-fits-all treatments for depression?​ Our scientists are developing new ways to treat depression based on each patient's unique symptoms. Find out how advances in brain imaging allows us to connect the dots between symptoms, specific circuitry problems within the brain and treatments: https://social.jnj.com/42au2G9:=:https://www.jnj.com/health-wellness/end-of-one-size-fits-all-depression-treatments"
Johnson & Johnson,MEDICAL_HEALTH,US,Like us to see how we're solving the world's toughest health challenges. ,2009-08-25 19:15:11,1068944,1087071,2024-01-10 06:00:51 AEDT,2024-01-10,06:00:51,Photo,152,43,21,5,1,1,0,2,3,0,N/A,https://www.facebook.com/100020084423101/posts/1347570325922435,"There’s a good chance you or someone you know is living with arthritis. In the U.S., 1 in 4 adults suffer from this inflammatory disease. Explore some of the different types of arthritis and the treatments we’re developing for patients with this painful condition: https://social.jnj.com/41MQCnN:=:https://www.jnj.com/health-and-wellness/arthritis-3-main-types-rheumatoid-psoriatic-osteoarthritis"
Johnson & Johnson,MEDICAL_HEALTH,US,Like us to see how we're solving the world's toughest health challenges. ,2009-08-25 19:15:11,1067690,1085500,2023-12-22 06:00:52 AEDT,2023-12-22,06:00:52,Photo,146,225,23,13,2,2,0,53,2,0,N/A,https://www.facebook.com/100020084423101/posts/1337325123613622,A treatment for an incurable cancer. Catheters to better diagnose and treat AFib. A surgical stapler that’s easier to use. Explore some of our most game-changing healthcare innovations: https://social.jnj.com/48lKYeu:=:https://www.jnj.com/innovation/innovations-that-inspired-us-in-2023
Johnson & Johnson,MEDICAL_HEALTH,US,Like us to see how we're solving the world's toughest health challenges. ,2009-08-25 19:15:11,1067184,1084811,2023-12-14 06:00:52 AEDT,2023-12-14,06:00:52,Photo,119,57,13,5,0,4,1,29,6,0,N/A,https://www.facebook.com/100020084423101/posts/1332928250719976,Atrial Fibrillation (AFib) is on the rise—with 1 in 4 adults over 40 at risk of developing the condition. Explore how our scientists are driving high-tech advances to transform how AFib is diagnosed and treated: https://social.jnj.com/3TkSl1x:=:https://www.jnj.com/innovation/5-things-we-now-know-about-atrial-fibrillation
Johnson & Johnson,MEDICAL_HEALTH,US,Like us to see how we're solving the world's toughest health challenges. ,2009-08-25 19:15:11,1067177,1084771,2023-12-13 10:00:22 AEDT,2023-12-13,10:00:22,Photo,135,29,9,5,1,2,0,28,3,0,N/A,https://www.facebook.com/100020084423101/posts/1332523334093801,"“Our ambition is to change the treatment paradigm in bladder cancer.” — J&J urologic oncologist Dr. Sumeet Bhanvadia​ ​ The treatment of bladder cancer has seen very little innovation in decades. We’re aiming to change that. Explore what this means for the 80,000 Americans receiving a bladder cancer diagnosis each year: https://social.jnj.com/3uVdi9a:=:https://www.jnj.com/interview-with-janssen-doctor-explores-potential-bladder-cancer-treatment-options"
Johnson & Johnson,MEDICAL_HEALTH,US,Like us to see how we're solving the world's toughest health challenges. ,2009-08-25 19:15:11,1066899,1084372,2023-12-08 09:00:21 AEDT,2023-12-08,09:00:21,Photo,102,36,18,6,8,2,0,21,5,0,N/A,https://www.facebook.com/100020084423101/posts/1330016157677852,Our scientists are working to solve the world's toughest health challenges—including a rare blood disorder that impacts newborn babies. Hear from one new mom about her experience with this life-threatening condition: https://social.jnj.com/3GwHZnz:=:https://www.jnj.com/what-its-like-when-your-baby-has-a-rare-blood-disorder
Johnson & Johnson,MEDICAL_HEALTH,US,Like us to see how we're solving the world's toughest health challenges. ,2009-08-25 19:15:11,1066852,1084349,2023-12-07 03:00:54 AEDT,2023-12-07,03:00:54,Photo,83,26,12,10,1,0,0,12,7,0,N/A,https://www.facebook.com/100020084423101/posts/1329398371072964,"""It seemed like time was ticking, and I couldn’t convince anyone what I knew in my heart: I had lung cancer."" — Nichelle, lung cancer survivor ​ Read about one patient's journey to diagnosis, the barriers she experienced, the importance of advocating for your health—and how we're advancing innovations to treat and hopefully eliminate cancer: https://social.jnj.com/46KWmQ1:=:https://www.jnj.com/personal-stories/lung-cancer-diagnosis-journey-to-health-advocacy"
Johnson & Johnson,MEDICAL_HEALTH,US,Like us to see how we're solving the world's toughest health challenges. ,2009-08-25 19:15:11,1066517,1083971,2023-12-01 09:00:18 AEDT,2023-12-01,09:00:18,Photo,117,48,27,11,1,1,0,10,5,0,N/A,https://www.facebook.com/100020084423101/posts/1326487004697434,Did you know: Humans are genetically 99.5-99.9% identical to one another. The remaining 0.1-0.5% of unique genetic material that differentiates us is about to be turbocharged. We're excited to share that UK Biobank has unveiled new data from whole genome sequencing of its half a million volunteers—an effort supported by a consortium including Johnson & Johnson. Approved researchers around the globe can now access this data to accelerate the pace of understanding of genetic diseases and develop new diagnostics and treatment options to treat them. Discover why we’re now at the forefront of understanding the power of DNA—and some key milestones in the quest to harness it to advance human health: https://social.jnj.com/410bVBU:=:https://www.jnj.com/innovation/human-genome-healthcare-jnj-forefront
Johnson & Johnson,MEDICAL_HEALTH,US,Like us to see how we're solving the world's toughest health challenges. ,2009-08-25 19:15:11,1066004,1083353,2023-11-22 10:00:04 AEDT,2023-11-22,10:00:04,Photo,82,29,13,11,0,1,0,7,7,0,N/A,https://www.facebook.com/100020084423101/posts/1322168588462609,Solving the toughest health challenges—like eliminating prostate cancer—starts with getting people to talk about it and take action. Hear from a urologist about reducing the stigma around #prostatecancer and why early detection can help save lives: https://social.jnj.com/3QQxMXP:=:https://www.jnj.com/health-and-wellness/as-black-men-we-keep-things-close-to-the-hip-5-questions-for-a-urologist-about-prostate-cancer
Johnson & Johnson,MEDICAL_HEALTH,US,Like us to see how we're solving the world's toughest health challenges. ,2009-08-25 19:15:11,1065984,1083331,2023-11-21 06:00:04 AEDT,2023-11-21,06:00:04,Photo,121,14,19,22,2,1,0,6,2,0,N/A,https://www.facebook.com/100020084423101/posts/1321622221850579,The key to slowing cognitive decline is catching it early. See how we're harnessing advancements in science and technology to potentially detect and treat Alzheimer's disease: https://social.jnj.com/3szQICn:=:https://www.jnj.com/innovation/catching-alzheimers-before-it-starts
Johnson & Johnson,MEDICAL_HEALTH,US,Like us to see how we're solving the world's toughest health challenges. ,2009-08-25 19:15:11,1065713,1082971,2023-11-14 07:00:05 AEDT,2023-11-14,07:00:05,Photo,160,44,21,23,2,3,0,5,4,0,N/A,https://www.facebook.com/100020084423101/posts/1318274732185328,It takes passion and curiosity to accelerate innovation through science and technology. Meet the #JNJ employee navigating the world of tech startups to find the next big medical breakthrough: https://social.jnj.com/3ryi9vD:=:https://www.jnj.com/personal-stories/bringing-game-changing-healthcare-technology-to-life
Johnson & Johnson,MEDICAL_HEALTH,US,Like us to see how we're solving the world's toughest health challenges. ,2009-08-25 19:15:11,1065478,1082745,2023-11-11 02:30:06 AEDT,2023-11-11,02:30:06,Link,98,14,12,5,0,1,0,4,2,0,N/A,https://www.facebook.com/100020084423101/posts/1316676779011790,We’re innovating in bariatric surgery to change how doctors operate and patients recover. See how.
Johnson & Johnson,MEDICAL_HEALTH,US,Like us to see how we're solving the world's toughest health challenges. ,2009-08-25 19:15:11,1065428,1082664,2023-11-09 10:00:56 AEDT,2023-11-09,10:00:56,Native Video,87,30,12,5,0,3,0,2,2,2783,00:00:43,https://www.facebook.com/100020084423101/posts/1315829239096544,"Did you know that nearly 9 out of 10 U.S. adults struggle to understand their medical records? See how our #MyHealthCantWait initiative is working to change that statistic and transform the patient experience, one patient at a time: https://social.jnj.com/3smAtsa:=:https://www.myhealthcantwait.com/events"
